"name","value","created_at"
volume_24h,47539323.2158,2024-09-23 05:10:01.000
market_cap_dominance,0.1273,2024-09-23 05:10:01.000
market_cap,2846517370.6336,2024-09-23 05:10:01.000
circulating_supply,29595286234.016,2024-09-23 05:10:01.000
rank,35.0,2024-09-23 05:10:01.000
price_usd,0.09591,2024-09-23 05:20:00.000
volume_24h,47526071.3014,2024-09-23 05:20:00.000
market_cap_dominance,0.1273,2024-09-23 05:20:00.000
market_cap,2838591160.692,2024-09-23 05:20:00.000
circulating_supply,29595286221.508,2024-09-23 05:20:00.000
rank,35.0,2024-09-23 05:20:00.000
price_usd,0.09597,2024-09-23 05:30:01.000
volume_24h,47483992.3955,2024-09-23 05:30:01.000
market_cap_dominance,0.1272,2024-09-23 05:30:01.000
market_cap,2840294985.331,2024-09-23 05:30:01.000
circulating_supply,29595286221.508,2024-09-23 05:30:01.000
rank,35.0,2024-09-23 05:30:01.000
price_usd,0.09611,2024-09-23 05:40:01.000
volume_24h,47560404.7239,2024-09-23 05:40:01.000
market_cap_dominance,0.1273,2024-09-23 05:40:01.000
market_cap,2844310843.4998,2024-09-23 05:40:01.000
circulating_supply,29595286189.63,2024-09-23 05:40:01.000
rank,35.0,2024-09-23 05:40:01.000
price_usd,0.09634,2024-09-23 05:50:01.000
volume_24h,47738863.4415,2024-09-23 05:50:01.000
market_cap_dominance,0.1274,2024-09-23 05:50:01.000
market_cap,2851110239.144,2024-09-23 05:50:01.000
circulating_supply,29595286189.63,2024-09-23 05:50:01.000
rank,35.0,2024-09-23 05:50:01.000
price_usd,0.09617,2024-09-23 06:00:04.000
volume_24h,47828516.9355,2024-09-23 06:00:04.000
market_cap_dominance,0.1273,2024-09-23 06:00:04.000
market_cap,2846201476.6654,2024-09-23 06:00:04.000
circulating_supply,29595286189.63,2024-09-23 06:00:04.000
rank,35.0,2024-09-23 06:00:04.000
price_usd,0.09617,2024-09-23 06:10:01.000
volume_24h,47584730.8613,2024-09-23 06:10:01.000
market_cap_dominance,0.1274,2024-09-23 06:10:01.000
market_cap,2846236401.5877,2024-09-23 06:10:01.000
circulating_supply,29595286170.589,2024-09-23 06:10:01.000
rank,35.0,2024-09-23 06:10:01.000
price_usd,0.09603,2024-09-23 06:20:01.000
volume_24h,47672277.3594,2024-09-23 06:20:01.000
market_cap_dominance,0.1273,2024-09-23 06:20:01.000
market_cap,2842047302.1298,2024-09-23 06:20:01.000
circulating_supply,29595286170.589,2024-09-23 06:20:01.000
rank,35.0,2024-09-23 06:20:01.000
price_usd,0.09602,2024-09-23 06:30:02.000
volume_24h,47804908.1213,2024-09-23 06:30:02.000
market_cap_dominance,0.1274,2024-09-23 06:30:02.000
market_cap,2841680061.7728,2024-09-23 06:30:02.000
circulating_supply,29595286170.589,2024-09-23 06:30:02.000
rank,35.0,2024-09-23 06:30:02.000
price_usd,0.09607,2024-09-23 06:40:00.000
volume_24h,47991651.7387,2024-09-23 06:40:01.000
market_cap_dominance,0.1273,2024-09-23 06:40:01.000
market_cap,2843270969.0185,2024-09-23 06:40:01.000
circulating_supply,29595286164.982,2024-09-23 06:40:01.000
rank,35.0,2024-09-23 06:40:01.000
price_usd,0.09608,2024-09-23 06:50:01.000
volume_24h,47703225.7784,2024-09-23 06:50:01.000
market_cap_dominance,0.1273,2024-09-23 06:50:01.000
market_cap,2843444461.8536,2024-09-23 06:50:01.000
circulating_supply,29595286164.982,2024-09-23 06:50:01.000
rank,35.0,2024-09-23 06:50:01.000
price_usd,0.09615,2024-09-23 07:00:05.000
volume_24h,47678412.8364,2024-09-23 07:00:05.000
market_cap_dominance,0.1274,2024-09-23 07:00:05.000
market_cap,2845698778.0283,2024-09-23 07:00:05.000
circulating_supply,29595286164.982,2024-09-23 07:00:05.000
rank,35.0,2024-09-23 07:00:05.000
price_usd,0.09608,2024-09-23 07:10:02.000
volume_24h,47509631.8431,2024-09-23 07:10:02.000
market_cap_dominance,0.1274,2024-09-23 07:10:02.000
market_cap,2843578933.6835,2024-09-23 07:10:02.000
circulating_supply,29595286149.49,2024-09-23 07:10:02.000
rank,35.0,2024-09-23 07:10:02.000
price_usd,0.09589,2024-09-23 07:20:01.000
volume_24h,47575097.2669,2024-09-23 07:20:01.000
market_cap_dominance,0.1275,2024-09-23 07:20:01.000
market_cap,2837852566.2163,2024-09-23 07:20:01.000
circulating_supply,29595286149.49,2024-09-23 07:20:01.000
rank,35.0,2024-09-23 07:20:01.000
price_usd,0.09584,2024-09-23 07:30:02.000
volume_24h,47823700.5687,2024-09-23 07:30:02.000
market_cap_dominance,0.1276,2024-09-23 07:30:02.000
market_cap,2836377489.0332,2024-09-23 07:30:02.000
circulating_supply,29595286149.49,2024-09-23 07:30:02.000
rank,35.0,2024-09-23 07:30:02.000
price_usd,0.09586,2024-09-23 07:40:01.000
volume_24h,48040933.6447,2024-09-23 07:40:01.000
market_cap_dominance,0.1276,2024-09-23 07:40:01.000
market_cap,2837028672.9857,2024-09-23 07:40:01.000
circulating_supply,29595286149.49,2024-09-23 07:40:01.000
rank,35.0,2024-09-23 07:40:01.000
price_usd,0.09589,2024-09-23 07:50:01.000
volume_24h,48119417.3187,2024-09-23 07:50:01.000
market_cap_dominance,0.1275,2024-09-23 07:50:01.000
market_cap,2837759075.7835,2024-09-23 07:50:01.000
circulating_supply,29595286137.099,2024-09-23 07:50:01.000
rank,35.0,2024-09-23 07:50:01.000
price_usd,0.09593,2024-09-23 08:00:02.000
volume_24h,48255659.6045,2024-09-23 08:00:02.000
market_cap_dominance,0.1276,2024-09-23 08:00:02.000
market_cap,2839085409.6389,2024-09-23 08:00:02.000
circulating_supply,29595286137.099,2024-09-23 08:00:02.000
rank,35.0,2024-09-23 08:00:02.000
price_usd,0.09579,2024-09-23 08:10:01.000
volume_24h,48297562.8922,2024-09-23 08:10:01.000
market_cap_dominance,0.1276,2024-09-23 08:10:01.000
market_cap,2835009687.2712,2024-09-23 08:10:01.000
circulating_supply,29595286137.099,2024-09-23 08:10:01.000
rank,34.0,2024-09-23 08:10:01.000
price_usd,0.09565,2024-09-23 08:20:01.000
volume_24h,48451273.6937,2024-09-23 08:20:01.000
market_cap_dominance,0.1275,2024-09-23 08:20:01.000
market_cap,2830791694.1699,2024-09-23 08:20:01.000
circulating_supply,29595286125.213,2024-09-23 08:20:01.000
rank,34.0,2024-09-23 08:20:01.000
price_usd,0.09585,2024-09-23 08:30:01.000
volume_24h,48764912.1412,2024-09-23 08:30:01.000
market_cap_dominance,0.1277,2024-09-23 08:30:01.000
market_cap,2836636136.0684,2024-09-23 08:30:01.000
circulating_supply,29595286125.213,2024-09-23 08:30:01.000
rank,34.0,2024-09-23 08:30:01.000
price_usd,0.09578,2024-09-23 08:40:01.000
volume_24h,48819655.4872,2024-09-23 08:40:01.000
market_cap_dominance,0.1276,2024-09-23 08:40:01.000
market_cap,2834624563.0416,2024-09-23 08:40:01.000
circulating_supply,29595286114.348,2024-09-23 08:40:01.000
rank,34.0,2024-09-23 08:40:01.000
price_usd,0.09558,2024-09-23 08:50:01.000
volume_24h,49327233.5184,2024-09-23 08:50:01.000
market_cap_dominance,0.1275,2024-09-23 08:50:01.000
market_cap,2828571958.798,2024-09-23 08:50:01.000
circulating_supply,29595286114.348,2024-09-23 08:50:01.000
rank,34.0,2024-09-23 08:50:01.000
price_usd,0.09571,2024-09-23 09:00:03.000
volume_24h,49576243.2751,2024-09-23 09:00:03.000
